22	10736170	10736282	-
22	10939387	10939422	-
22	10940596	10940706	-
22	10941690	10941779	-
22	10944966	10945052	-
22	10947303	10947417	-
22	10949211	10949268	-
22	10950048	10950173	-
22	10959066	10959135	-
22	10961282	10961337	-
22	11065973	11066014	-
22	11066500	11066514	+
22	11067334	11067345	-
22	11067984	11068088	+
22	11124336	11124378	+
22	11124507	11125704	+
22	11249808	11249958	-
22	12602465	12602526	+
22	12604669	12604738	+
22	12615408	12615533	+
22	12616313	12616370	+
22	12618170	12618288	+
22	12620837	12620937	+
22	12624241	12624330	+
22	12625316	12625427	+
22	12626606	12626641	+
22	15273854	15273960	+
22	15282556	15288669	-
22	15290717	15290835	+
22	15290994	15291023	+
22	15295331	15295409	+
22	15295729	15295831	+
22	15297156	15297195	+
22	15298377	15304555	-
22	15326036	15327755	-
22	15342359	15342425	-
22	15342944	15343064	-
22	15349466	15350042	+
22	15489989	15490130	+
22	15490871	15490946	+
22	15492485	15492563	+
22	15528157	15529138	+
22	15541435	15541606	+
22	15550903	15552886	-
22	15553210	15553585	-
22	15553690	15553837	-
22	15557576	15558625	-
22	15560155	15560263	-
22	15560524	15560693	-
22	15562016	15564275	-
22	15572088	15573264	-
22	15575611	15575785	+
22	15577966	15578005	+
22	15588360	15588477	+
22	15600907	15602513	-
22	15604051	15604132	-
22	15604841	15604881	-
22	15611758	15613095	-
22	15615401	15615577	-
22	15622600	15622711	-
22	15623986	15624070	-
22	15624538	15624673	-
22	15624955	15625093	-
22	15625471	15625900	-
22	15627331	15627409	-
22	15627649	15627715	-
22	15628381	15628585	-
22	15629737	15629890	-
22	15631429	15631537	-
22	15631918	15632050	-
22	15635179	15635310	-
22	15636010	15636066	-
22	15636545	15636713	-
22	15636799	15636864	-
22	15637380	15637458	-
22	15638851	15639042	-
22	15644203	15644329	-
22	15690025	15690708	+
22	15695370	15695484	+
22	15695644	15695817	+
22	15697373	15697628	+
22	15698661	15698767	+
22	15699360	15701564	-
22	15702685	15702755	+
22	15702959	15703402	-
22	15708019	15708089	+
22	15709781	15709825	+
22	15710867	15711033	+
22	15719659	15719777	+
22	15721285	15722607	+
22	15746629	15746898	+
22	15749155	15749797	-
22	15750371	15750824	-
22	15754387	15754452	+
22	15765686	15765779	+
22	15774711	15774847	+
22	15778009	15778296	+
22	15784958	15785056	+
22	15787171	15787281	+
22	15788551	15788698	+
22	15788819	15788930	+
22	15790660	15790797	+
22	15791009	15791151	+
22	15791627	15791813	+
22	15796958	15798345	+
22	15805262	15806010	-
22	15806355	15806502	-
22	15813393	15813480	-
22	15815475	15815565	+
22	15815574	15815896	-
22	15818492	15819164	+
22	15820620	15820883	-
22	15823196	15823889	+
22	15826141	15829983	+
22	15852989	15853220	+
22	15854194	15855242	-
22	15859049	15859170	+
22	15876488	15876686	+
22	15877314	15877447	+
22	15893136	15893941	+
22	15901790	15901910	+
22	15914720	15915145	-
22	15915640	15915799	-
22	16141766	16141871	+
22	16387693	16387838	+
22	16390135	16390219	+
22	16390369	16390494	+
22	16390640	16390886	+
22	16405329	16405416	+
22	16423942	16424107	+
22	16424524	16425211	+
22	16425244	16425487	+
22	16425517	16426030	+
22	16428946	16429160	-
22	16433325	16433460	-
22	16434363	16434453	-
22	16438286	16438436	-
22	16439312	16439390	-
22	16459929	16460103	-
22	16472851	16472977	-
22	16474087	16474228	-
22	16476698	16476869	-
22	16486984	16488321	+
22	16503303	16503375	+
22	16508154	16508238	+
22	16509387	16509474	+
22	16521058	16521288	+
22	16525946	16526112	+
22	16526974	16527236	+
22	16572026	16572149	+
22	16572707	16572752	+
22	16573043	16573211	+
22	16573421	16573526	+
22	16574465	16574636	+
22	16575362	16578072	-
22	16580810	16581286	-
22	16582506	16582706	-
22	16590750	16592809	-
22	16595088	16595484	-
22	16601886	16602214	+
22	16611657	16611892	+
22	16612581	16615110	+
22	16616169	16616345	+
22	16616745	16617113	+
22	16619614	16619719	+
22	16620051	16620159	+
